Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,67.970400,-95.758000,0.000000,top
C2,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,67.970400,-100.457000,180.000000,top
C3,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,67.056000,-114.046000,0.000000,top
D1,1N4148,D_SOD-323_HandSoldering,109.728000,-113.665000,90.000000,top
D2,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.644000,-141.732000,0.000000,top
D3,Blue LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.312000,-141.732000,0.000000,top
D4,White LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.980000,-141.732000,0.000000,top
FB1,Ferrite_Bead,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.012000,-101.346000,90.000000,top
FB2,Ferrite_Bead,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.918000,-101.346000,90.000000,top
FB3,Ferrite_Bead,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.048000,-101.092000,-90.000000,top
FB4,Ferrite_Bead,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.178000,-101.092000,-90.000000,top
FB5,Ferrite_Bead,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.142000,-101.092000,90.000000,top
FB6,Ferrite_Bead,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.272000,-101.092000,90.000000,top
J1,Midi In,din-5,100.965000,-85.725000,180.000000,top
J2,USB3_A,GSB3111113HR,77.749400,-89.992200,-90.000000,top
J3,Midi Out,din-5,125.095000,-85.725000,180.000000,top
J4,Midi Thru,din-5,149.225000,-85.725000,180.000000,top
R1,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,99.314000,-101.346000,-90.000000,top
R2,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.710000,-101.346000,-90.000000,top
R3,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.216000,-141.732000,0.000000,top
R4,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.444000,-101.092000,90.000000,top
R5,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.574000,-101.092000,90.000000,top
R6,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.350000,-101.092000,-90.000000,top
R7,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.480000,-101.092000,90.000000,top
R8,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.884000,-141.732000,0.000000,top
R9,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.552000,-141.732000,0.000000,top
U1,H11L1,SMDIP-6_W9.53mm_Clearance8mm,100.838000,-112.395000,90.000000,top
U2,74HC14,SO-14_3.9x8.65mm_P1.27mm,86.360000,-113.030000,0.000000,top
U3,LM1117-3.3,SOT-223-3_TabPin2,68.580000,-107.188000,90.000000,top